CPU	Núcleos	Processadores	Dimensões da variável independente	Dimensões da variável dependente	Conjunto de treinamento	Conjunto de teste	Threads	Tempo gasto	RMSE
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz	10	40	4	4	1048576	8192	23	885.803849	0.003298
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz	10	40	4	4	1048576	8192	23	890.615892	0.003298
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz	10	40	4	4	1048576	8192	23	887.176151	0.003298
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz	10	40	4	4	1048576	8192	23	882.646190	0.003298
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz	10	40	4	4	1048576	8192	23	890.475700	0.003298
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz	10	40	4	4	1048576	8192	23	891.653391	0.003298
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz	10	40	4	4	1048576	8192	23	885.600470	0.003298
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz	10	40	4	4	1048576	8192	23	890.925933	0.003298
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz	10	40	4	4	1048576	8192	23	891.992632	0.003298
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz	10	40	4	4	1048576	8192	23	910.891893	0.003298
